,Log2FC,Std.Error,df,t value,Pr(>|t|),FDR,diffexpressed,delabel
ZNF83,-0.666395105,0.177943755,106.7039992,-3.744976065,0.000292824,0.004404584,NO,NA
CDR2L,-0.779433742,0.208624351,112.7345979,-3.736063106,0.00029503,0.004421714,NO,NA
HECTD1,-0.697176812,0.186534607,111.4507038,-3.737519944,0.00029495,0.004421714,NO,NA
PHKA2,-0.889954745,0.237361003,99.96360956,-3.749372189,0.000297145,0.004445381,NO,NA
SAP25,-0.899291343,0.240866449,110.3078666,-3.733568325,0.000300415,0.004478128,NO,NA
UPF1,-0.737073247,0.193528807,68.78521257,-3.808597068,0.000300374,0.004478128,NO,NA
PTDSS1,0.802350563,0.215174292,114.1933502,3.728840251,0.00030103,0.004479239,NO,NA
NME6,-0.840704142,0.223633359,86.86089615,-3.759296661,0.000308237,0.004578257,NO,NA
FH,0.63075477,0.169844348,117.8921276,3.713722467,0.000313461,0.00462272,NO,NA
PKMYT1,-0.364301098,0.098058598,117.6237854,-3.715136707,0.000312182,0.00462272,NO,NA
NCOR1,0.73101957,0.196826699,117.7451263,3.714026476,0.000313281,0.00462272,NO,NA
ZNF615,-0.802642639,0.215272697,100.268242,-3.728492514,0.00031913,0.00468962,NO,NA
AGAP1,-0.685019147,0.184708044,117.9426545,-3.708658983,0.000319068,0.00468962,NO,NA
TANC2,-0.857759355,0.231195234,115.5690446,-3.710108291,0.000320036,0.004694615,NO,NA
POLR3H,-0.764489738,0.20570859,108.8449967,-3.716372458,0.00032097,0.004699998,NO,NA
RTRAF,0.598903064,0.161450946,114.4041939,3.709504835,0.000322039,0.004707338,NO,NA
KCTD9,0.660972817,0.178224835,112.0757575,3.708645982,0.000325756,0.004744933,NO,NA
APBB3,-0.834897508,0.225463663,117.8311156,-3.703024679,0.000325603,0.004744933,NO,NA
TBC1D10B,-0.736806255,0.192479028,56.32477822,-3.827982013,0.000326554,0.004748215,NO,NA
NPC1,0.888080958,0.237910417,92.22898223,3.732837638,0.000327277,0.004750392,NO,NA
COPS3,0.817614541,0.220295542,104.0104585,3.711443889,0.000333076,0.004821636,NO,NA
