"","Log2FC","Std.Error","df","t value","Pr(>|t|)","FDR","diffexpressed","delabel"
"PIAS3",-0.523399692530467,0.279987254797923,47.0286807486246,-1.86936970723265,0.0678051013674786,0.30154557661722,"NO",NA
"WFDC2",-0.817740707901268,0.507225674877917,56.5313462395222,-1.61218319261557,0.112491603023857,0.391825488218508,"NO",NA
"LUC7L3",-0.458146851769411,0.229501049031219,53.3382684381032,-1.99627345366552,0.0510199330446486,0.254588536567969,"NO",NA
"PRMT5",-0.208222804336098,0.299344326463738,41.4311314112516,-0.695596294728246,0.490565223486611,0.753520285809683,"NO",NA
"ECI2",0.0846628609939919,0.243731329740233,56.9999999988744,0.347361420808006,0.729599168627325,0.890163084591437,"NO",NA
"HLA-DMA",0.803732757092677,0.312357202838325,45.9532218198534,2.57312061252094,0.0133723293648578,0.117792592588515,"NO",NA
"MAN2A2",-0.163545996882136,0.330788032137396,56.9999999997254,-0.49441328280645,0.622914534769932,0.837216175786296,"NO",NA
"TMEM50B",-0.098505072780498,0.131229828852842,55.9013707334935,-0.750630200782776,0.456023331038891,0.734558514777102,"NO",NA
"CAPZA1",0.874962856461154,0.259226872495779,57.0000000000298,3.37527837309923,0.0013326388485038,0.0274493543268885,"NO",NA
"CAPZA2",0.33968785827517,0.270469332246066,24.866557747148,1.25592005368701,0.220817573443181,0.540115841471066,"NO",NA
"DYNC1LI2",-0.157838618909365,0.185057171545306,50.6137013762311,-0.852918141952274,0.397723019862203,0.692225039969826,"NO",NA
"DNAJB1",-0.325841026669918,0.325528109060294,56.5104891012209,-1.00096126141158,0.32111249541599,0.632868892784844,"NO",NA
"IRF6",-0.276660268546988,0.362376915479478,53.5284083556232,-0.763459968692887,0.448541083864972,0.730545956746785,"NO",NA
"LASP1",0.0947095809233857,0.251033922127324,53.3646831046682,0.377278019324213,0.707463275794135,0.878357418553381,"NO",NA
"NCK1",0.218678947567715,0.321978969250824,56.9999999991185,0.679171525011505,0.499777864348603,0.761095312091263,"NO",NA
